date,closing,opening,high,low,traper,rate
2018年8月10日,21.420,19.830,21.890,19.650,13.30M,-14.53%
2018年8月9日,25.060,25.790,25.790,24.900,1.82M,-3.87%
2018年8月8日,26.070,26.330,26.350,25.915,935.27K,-0.38%
2018年8月7日,26.170,25.790,26.555,25.590,1.32M,4.85%
2018年8月6日,24.960,26.040,26.105,24.900,1.81M,-7.45%
2018年8月3日,26.970,27.000,27.050,26.660,404.22K,0.78%
2018年8月2日,26.760,26.760,26.810,26.520,609.94K,-2.09%
2018年8月1日,27.330,28.200,28.239,27.210,1.19M,-3.12%
2018年7月31日,28.210,28.160,28.290,27.770,395.79K,0.79%
2018年7月30日,27.990,28.010,28.060,27.830,170.17K,-0.04%
2018年7月27日,28.000,27.730,28.130,27.730,327.84K,1.45%
2018年7月26日,27.600,28.540,28.640,27.449,975.85K,-3.46%
2018年7月25日,28.590,27.960,28.720,27.960,506.93K,6.52%
2018年7月24日,26.840,26.910,27.230,26.780,1.07M,-6.22%
2018年7月23日,28.620,28.720,28.810,28.470,531.01K,2.32%
2018年7月20日,27.970,28.000,28.160,27.910,542.84K,1.45%
2018年7月19日,27.570,27.500,27.710,27.399,343.57K,0.22%
2018年7月18日,27.510,27.140,27.680,26.950,513.88K,0.04%
2018年7月17日,27.500,26.940,27.540,26.890,967.49K,3.31%
2018年7月16日,26.620,26.550,26.680,26.410,720.74K,-0.08%
2018年7月13日,26.640,26.500,26.910,26.440,565.23K,0.83%
2018年7月12日,26.420,26.210,26.710,25.990,1.59M,-2.94%
2018年7月11日,27.220,28.370,28.390,27.030,1.68M,-6.72%
2018年7月10日,29.180,29.470,29.525,29.050,1.13M,-2.96%
2018年7月9日,30.070,31.360,31.530,29.810,748.64K,-3.37%
2018年7月6日,31.120,30.940,31.310,30.780,522.31K,1.27%
2018年7月5日,30.730,30.690,30.950,30.592,370.14K,4.42%
2018年7月3日,29.430,29.910,29.920,29.382,344.72K,-2.29%
2018年7月2日,30.120,29.980,30.160,29.880,304.03K,-0.33%
2018年6月29日,30.220,30.440,30.530,29.960,330.25K,0.30%
2018年6月28日,30.130,30.130,30.290,29.940,464.98K,2.07%
2018年6月27日,29.520,29.630,30.030,29.510,497.27K,0.61%
2018年6月26日,29.340,29.460,29.500,29.070,500.94K,1.35%
2018年6月25日,28.950,29.080,29.180,28.610,1.01M,-2.39%
2018年6月22日,29.660,29.460,29.780,29.290,401.52K,2.45%
2018年6月21日,28.950,29.030,29.300,28.860,530.29K,0.52%
2018年6月20日,28.800,29.040,29.040,28.750,495.12K,0.28%
2018年6月19日,28.720,28.880,29.040,28.700,451.83K,-2.74%
2018年6月18日,29.530,29.460,29.600,29.180,535.93K,0.10%
2018年6月15日,29.500,29.370,29.630,29.150,975.00K,-0.14%
2018年6月14日,29.540,30.320,30.340,29.395,1.04M,-0.67%
2018年6月13日,29.740,30.400,30.400,29.460,977.08K,-3.82%
2018年6月12日,30.920,31.230,31.290,30.810,493.12K,-2.71%
2018年6月11日,31.780,31.960,32.000,31.750,356.73K,-0.87%
2018年6月8日,32.060,31.930,32.080,31.650,555.69K,-0.50%
2018年6月7日,32.220,32.430,32.820,31.910,607.53K,1.42%
2018年6月6日,31.770,31.080,31.800,31.070,343.52K,1.18%
2018年6月5日,31.400,31.640,31.645,31.305,336.87K,-1.69%
2018年6月4日,31.940,32.010,32.220,31.825,326.72K,0.95%
2018年6月1日,31.640,31.850,32.280,31.510,558.69K,-3.83%
2018年5月31日,32.900,33.330,33.330,32.560,675.47K,-4.22%
2018年5月30日,34.350,34.150,34.450,33.770,564.75K,1.60%
2018年5月29日,33.810,33.510,34.090,33.510,840.48K,5.46%
2018年5月25日,32.060,32.030,32.280,31.880,589.40K,0.85%
2018年5月24日,31.790,31.630,31.910,30.960,1.44M,-5.36%
2018年5月23日,33.590,31.000,33.670,30.610,2.82M,3.90%
2018年5月22日,32.330,32.360,32.740,32.250,548.79K,-1.13%
2018年5月21日,32.700,32.790,32.880,32.445,367.71K,-1.95%
2018年5月18日,33.350,33.190,33.450,33.110,279.24K,-0.06%
2018年5月17日,33.370,33.530,33.585,33.240,259.97K,-1.53%
2018年5月16日,33.890,33.980,34.190,33.680,542.52K,1.68%
2018年5月15日,33.330,33.450,33.600,33.120,540.52K,-2.80%
2018年5月14日,34.290,35.190,35.330,34.190,337.71K,-0.92%
2018年5月11日,34.610,34.870,34.980,34.350,280.34K,-3.22%
2018年5月10日,35.760,35.210,35.890,35.050,464.53K,3.92%
2018年5月9日,34.410,34.580,34.850,33.970,688.97K,2.96%
2018年5月8日,33.420,34.090,34.120,33.240,853.51K,-3.77%
2018年5月7日,34.730,34.870,34.890,34.420,451.21K,-2.50%
2018年5月4日,35.620,34.940,35.720,34.900,594.61K,-0.56%
2018年5月3日,35.820,36.310,36.389,35.250,615.19K,-1.35%
2018年5月2日,36.310,36.680,36.860,36.120,636.19K,-2.21%
2018年5月1日,37.130,37.370,37.370,36.710,456.91K,-1.46%
2018年4月30日,37.680,38.630,38.720,37.360,812.76K,-3.19%
2018年4月27日,38.920,39.040,39.070,38.590,448.83K,1.20%
2018年4月26日,38.460,38.430,38.510,38.000,358.82K,0.16%
2018年4月25日,38.400,38.380,38.400,37.970,440.78K,-1.74%
2018年4月24日,39.080,39.050,39.460,38.900,432.29K,0.64%
2018年4月23日,38.830,39.290,39.319,38.820,428.16K,-1.77%
2018年4月20日,39.530,39.830,39.840,39.370,194.95K,-1.76%
2018年4月19日,40.240,40.460,40.490,40.030,359.83K,-1.52%
2018年4月18日,40.860,39.390,40.920,39.250,609.86K,5.77%
2018年4月17日,38.630,38.760,38.790,38.510,237.46K,-1.85%
2018年4月16日,39.360,39.030,39.420,38.930,292.72K,1.44%
2018年4月13日,38.800,39.000,39.000,38.570,210.72K,-0.28%
2018年4月12日,38.910,39.080,39.169,38.840,279.13K,0.96%
2018年4月11日,38.540,38.190,38.720,37.960,332.74K,-1.81%
2018年4月10日,39.250,39.170,39.330,38.580,316.70K,-1.88%
2018年4月9日,40.000,40.730,40.850,39.950,246.88K,-2.44%
2018年4月6日,41.000,41.290,41.455,40.750,284.42K,-0.63%
2018年4月5日,41.260,41.430,41.520,41.180,266.44K,-1.34%
2018年4月4日,41.820,41.080,41.900,41.080,271.89K,-0.21%
2018年4月3日,41.910,41.750,41.960,41.450,208.43K,0.55%
2018年4月2日,41.680,42.060,42.115,41.340,276.94K,-1.74%
